Ticker,Equity Bond
AVDX,-2.1034736105669904
AVGO,1.4792584979472545
AVGR,-1040.0047181698762
AVIR,-54.71222539443548
AVNW,8.59098357047952
AVO,-0.10847252889816643
AVPT,-0.5337034336523021
AVR,-20.986436727796963
AVT,22.838440392230805
AVTE,-100.52463562899996
AVTX,-37.44210901318133
AVXL,-6.481661305347785
AWRE,-21.38462735628823
AXDX,-183.82339595574007
AXGN,-2.753640465873158
AXON,0.3088630970051039
AXSM,-4.576710611539812
AXTI,-20.546508852033636
AYRO,-776.9054512291364
AYTU,-169.0734371083899
AZPN,-1.0795527907693976
AZTA,-1.2786485513436052
BACK,-419.633192666066
BAER,-55.123316950128945
BAFN,12.2025809424693
BAND,-4.292255288748727
BANF,6.973506840291077
BANR,9.485980369155724
BANX,13.572784365736235
BASE,-7.296755462030781
