ASMB: Equity Bond = -69.76428529621953%
ASNS: Equity Bond = -81.7204656698902%
ASO: Equity Bond = 23.153046397172563%
ASPI: Equity Bond = -3.9708976608939044%
ASRT: Equity Bond = -328.50245143923183%
ASRV: Equity Bond = -10.004847038303643%
ASST: Equity Bond = -66.90264461571958%
ASTC: Equity Bond = -85.20298825489797%
ASTE: Equity Bond = 5.698375211624741%
ASTH: Equity Bond = 5.423928577586775%
ASTI: Equity Bond = -610.6580694644779%
ASTS: Equity Bond = -5.137760763349684%
ASUR: Equity Bond = -2.9432402184902497%
ASYS: Equity Bond = -21.249763805977985%
ATEC: Equity Bond = -11.504859646805887%
ATER: Equity Bond = -454.64778085746724%
ATEX: Equity Bond = -2.8047625087233374%
ATHA: Equity Bond = -608.7317217510703%
ATLC: Equity Bond = 15.575643850141946%
Error for ATLCL: 'Pretax Income'
Error for ATLCZ: 'Pretax Income'
ATLN: Equity Bond = -2.147644891959123%
ATLO: Equity Bond = 8.082238791959275%
ATLX: Equity Bond = -46.01004221658088%
ATMC: Equity Bond = 2.447217749509905%
Error for ATMCR: 'Pretax Income'
ATMV: Equity Bond = 6.620209923397362%
Error for ATMVR: 'Pretax Income'
ATNF: Equity Bond = -527.3932233795064%
ATNI: Equity Bond = -11.908897861103306%
ATOM: Equity Bond = -8.305262051203826%
ATRA: Equity Bond = -562.6527951073776%
ATRC: Equity Bond = -1.5420773609481067%
ATRO: Equity Bond = -4.843371128416377%
ATSG: Equity Bond = 5.758662237584853%
ATXI: Equity Bond = -395.83978724290796%
ATXS: Equity Bond = -17.383720140722208%
ATYR: Equity Bond = -16.817254120312352%
AUBN: Equity Bond = 0.8439400298945955%
AUID: Equity Bond = -26.72778282489364%
AUR: Equity Bond = -8.673771637002828%
AURA: Equity Bond = -19.88152466225572%
AUUD: Equity Bond = -341.1742302338881%
AVAH: Equity Bond = -15.570301737010439%
AVAV: Equity Bond = -3.8590017370905754%
AVBP: Equity Bond = -7.465638615721295%
AVDX: Equity Bond = -2.1034736105669904%
AVGO: Equity Bond = 1.4792584979472545%
AVGR: Equity Bond = -1040.0047181698762%
